Designator,Mid X,Mid Y,Rotation,Layer
LED72,146.46,-84.19,90.0,top
LED73,137.58,-87.96,0.0,top
LED74,91.08,-113.09,180.0,top
LED75,100.4325,-126.1625,180.0,top
LED76,100.29,-134.71,180.0,top
LED77,104.23,-142.01,270.0,top
LED78,111.22,-146.13,180.0,top
LED79,111.27,-150.3,180.0,top
LED8,149.62,-103.9,90.0,top
LED80,111.27,-154.2125,180.0,top
LED81,111.26,-159.45,180.0,top
LED82,112.78,-166.79,180.0,top
LED83,112.8,-174.64,180.0,top
LED84,75.22,-174.65,0.0,top
LED85,85.0825,-162.81,180.0,top
LED86,136.04,-122.72,270.0,top
LED87,141.28,-122.69,270.0,top
LED88,150.6925,-126.3025,180.0,top
LED89,153.96,-129.54,180.0,top
LED9,143.45,-105.09,90.0,top
LED90,158.74,-132.43,270.0,top
LED91,165.3325,-131.3725,180.0,top
LED92,169.505,-135.405,180.0,top
LED93,173.245,-139.145,180.0,top
LED94,179.3,-100.25,270.0,top
LED95,184.12,-100.26,270.0,top
LED96,188.8875,-100.2575,270.0,top
LED97,193.74,-100.29,270.0,top
LED98,198.55,-100.28,270.0,top
U1,155.15,-174.77,180.0,top
